Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Group,Population,X,Y,Latitude,Longitude,Elevation (m),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,Preview link
429,Stormfury,Stormlashia,Stormlashia Area,Meridian Chain,Meridian Chainese League,Penguins,Toxic Liquidity,village,2922,1851,90.4,79.01,53.66,289,8°C,Prague (Czechia),,port,,walls,,,,{t1:argent;ordinaries:[{ordinary:cross;t:vert;line:straight}];charges:[{charge:billet;t:argent;p:beh;size:0.3}];shield:heater},https://watabou.github.io/village-generator/?pop=2922&name=Stormfury&seed=5864998610429&width=1600&height=780&style=default&tags=estuary%2Chighway%2Cno+square%2Cpalisade%2Cdense
430,Grumkor,,,Neutrals,undefined,Manis,The Whisperers,town,9189,2564.37,159.26,70.64,140.35,256,11°C,Antwerp (Belgium),,port,,walls,,,,{t1:chequy-argent-azure;ordinaries:[{ordinary:fess;t:gules;line:straight}];shield:heater},https://watabou.github.io/city-generator/?name=Grumkor&population=9189&size=30&seed=5864998610430&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural&sea=0.31
431,Frostclawler,Frosthunia,Frosthunia Republic,Eastern Hounds,Union of Eastern Hounds,Canid-Kin,The Whisperers,town,28472,1564.58,185.43,67.46,18.85,484,11°C,Antwerp (Belgium),,,,,,,,{t1:vert;charges:[{charge:helmet;t:argent;p:jln;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Frostclawler&population=28472&size=46&seed=5864998610431&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=true&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
432,Grumak,,,Neutrals,undefined,Manis,The Whisperers,village,12193,2571.61,187.32,67.23,141.23,400,11°C,Antwerp (Belgium),,,,,,,,{t1:or;charges:[{charge:arbalest2;t:vert;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=12193&name=Grumak&seed=5864998610432&width=1600&height=780&style=default&tags=river%2Cdead+end%2Cno+square%2Cdense
433,Thunderw,Thunderw,Thunderw Tribe,Guirilla,Guirillan Tribes,Small-Paws,The Whisperers,town,5727,676.28,195.91,66.19,-89.11,225,13°C,Milan (Italy),,,,walls,,,,{t1:argent;ordinaries:[{ordinary:bar;t:gules;line:straight}];charges:[{charge:bridge;t:or;p:def;size:0.3}];shield:heater},https://watabou.github.io/city-generator/?name=Thunderw&population=5727&size=25&seed=5864998610433&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
434,Iceprowlker,,,Neutrals,undefined,Canid-Kin,The Whisperers,town,2216,1687.79,202.4,65.4,33.82,256,12°C,Paris (France),,,,,,,,{t1:azure;charges:[{charge:heron;t:or;p:def;t2:argent;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Iceprowlker&population=2216&size=18&seed=5864998610434&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
435,Grug,,,Neutrals,undefined,Manis,The Whisperers,town,34487,2627,202.6,65.38,147.97,361,12°C,Paris (France),,,,,plaza,,,{t1:sable;charges:[{charge:scissors2;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Grug&population=34487&size=50&seed=5864998610435&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
436,Thun,Frostia,Frostia Tribe,Guirilla,Guirillan Tribes,Small-Paws,The Whisperers,village,2615,737.64,220.48,63.2,-81.65,256,13°C,Milan (Italy),,,citadel,,,,,{t1:argent;charges:[{charge:scrollClosed;t:azure;p:e;t2:azure;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=2615&name=Thun&seed=5864998610436&width=1600&height=780&style=default&tags=river%2Chighway%2Cno+square%2Cdense
437,Grungur,Grugia,Grugia Canton,Scute,Scutean Confederacy,Manis,The Whisperers,village,17342,2420.7,223.59,62.82,122.89,256,13°C,Milan (Italy),,,,,,,,{t1:gules;division:{division:perBendSinister;t:or;line:straight};charges:[{charge:mullet6Pierced;t:argent;p:e;divided:counter;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=17342&name=Grungur&seed=5864998610437&width=1600&height=780&style=default&tags=highway%2Cno+square%2Cdense
438,Mon,Blodclaw,Blodclaw Tribe,Guirilla,Guirillan Tribes,Small-Paws,The Whisperers,town,25293,631.4,228.21,62.26,-94.56,400,12°C,Paris (France),,,,,,,,{t1:purpure;charges:[{charge:skull;t:or;p:def;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Mon&population=25293&size=44&seed=5864998610438&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
439,Canopywin,Canopytrew,Canopytrew Canton,Meridian Chain,Meridian Chainese League,Canopy-Climbers,The Whisperers,village,3555,1824.82,226.32,62.49,50.47,256,13°C,Milan (Italy),,,,,,,,{t1:argent;charges:[{charge:pincers;t:vert;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=3555&name=Canopywin&seed=5864998610439&width=1600&height=780&style=default&tags=dead+end%2Cfarmland%2Cno+square%2Cdense
440,Lightbiron,Blodfang,Blodfang Tribe,Guirilla,Guirillan Tribes,Small-Paws,The Whisperers,city,38202,798.06,245.38,60.18,-74.31,324,13°C,Milan (Italy),,,citadel,,,,,{t1:argent;charges:[{charge:pincers;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Lightbiron&population=38202&size=51&seed=5864998610440&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
441,Lulea,Aumixa,Aumixa Parish,Theocracy,Holy State of Theocracy,Dolphin-Kin,Siren Song,town,2669,450.72,261.6,58.21,-116.52,441,13°C,Milan (Italy),,,,,,,,{t1:azure;charges:[{charge:head;t:or;p:e;t2:or;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Lulea&population=2669&size=19&seed=5864998610441&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
442,Frostbine,,,Neutrals,undefined,Canid-Kin,The Whisperers,town,2751,1652.98,258.43,58.59,29.59,361,14°C,Washington (D.C.),,,,,,,,{t1:palyBendy-argent-sable;division:{division:perPale;t:vert;line:straight};charges:[{charge:bell;t:azure;p:pq;t2:azure;divided:field;size:0.7};{charge:lamb;t:or;p:e;divided:division;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Frostbine&population=2751&size=19&seed=5864998610442&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
443,Sunf,Blaleria,Blaleria District,Relience,Reliencean Republic,Reliance,Cult of the Crushed,town,16114,1118.4,286.7,55.15,-35.38,484,14°C,Washington (D.C.),,,citadel,,,,,{t1:or;division:{division:chevronny;t:purpure};ordinaries:[{ordinary:cross;t:vert;line:straight;divided:counter}];shield:heater},https://watabou.github.io/city-generator/?name=Sunf&population=16114&size=37&seed=5864998610443&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
444,Frost,Thornsuria,Thornsuria Governorate,Relience,Reliencean Republic,Reliance,Cult of the Crushed,village,9602,1180.03,288.81,54.9,-27.89,324,15°C,Rome (Italy),,port,,,,,,{t1:vert;charges:[{charge:armillarySphere;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=9602&name=Frost&seed=5864998610444&width=1600&height=780&style=default&tags=coast%2Chighway%2Cno+square%2Cdense
445,Frostwhistea,Thornsuria,Thornsuria Governorate,Relience,Reliencean Republic,Reliance,Cult of the Crushed,town,2521,1159.38,314.57,51.77,-30.4,289,15°C,Rome (Italy),,,,,,,,{t1:purpure;division:{division:perCross;t:argent;line:dovetailed};charges:[{charge:mullet;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Frostwhistea&population=2521&size=18&seed=5864998610445&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
446,Storm,,,Neutrals,undefined,Sylvan Ancients,The Whisperers,town,19537,921.3,332.76,49.56,-59.33,361,16°C,Dubrovnik (Croatia),,port,,,,,,{t1:argent;ordinaries:[{ordinary:bordure;t:azure}];charges:[{charge:billet;t:argent;p:ABCDEFGHIJKL;size:0.18};{charge:horseRampant;t:gules;p:e;size:1.1}];shield:heater},https://watabou.github.io/city-generator/?name=Storm&population=19537&size=40&seed=5864998610446&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
447,Shapidsperti,,,Neutrals,undefined,Salmon-Kin,The Whisperers,town,20576,1319.84,354.79,46.88,-10.9,441,16°C,Dubrovnik (Croatia),,,,,,,,{t1:gules;charges:[{charge:rose;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Shapidsperti&population=20576&size=41&seed=5864998610447&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
448,Grumgul,Grumgul,Grumgul Canton,Scute,Scutean Confederacy,Manis,True Smelt,town,15013,2417.81,350.48,47.4,122.54,256,17°C,Lisbon (Portugal),,port,,walls,,,,{t1:sable;ordinaries:[{ordinary:chevronReversed;t:argent}];charges:[{charge:anchor;t:argent;p:b;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Grumgul&population=15013&size=36&seed=5864998610448&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
449,Canopymistd,,,Neutrals,undefined,Canopy-Climbers,The Whisperers,town,5351,1531.74,369.74,45.06,14.86,324,18°C,Barcelona (Spain),,port,,,,,,{t1:azure;ordinaries:[{ordinary:pale;t:argent;line:dragonTeeth}];charges:[{charge:goutte;t:gules;p:beh;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Canopymistd&population=5351&size=24&seed=5864998610449&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
450,Monwhisk,Gadowtglide,Gadowtglide Community,Sylvania,Sylvanian Commune,Iron-Woods,The Whisperers,town,8270,636.84,394.48,42.06,-93.9,324,18°C,Barcelona (Spain),,,,,,,,{t1:or;ordinaries:[{ordinary:cross;t:sable;line:straight}];charges:[{charge:camel;t:argent;p:e;t2:argent;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Monwhisk&population=8270&size=29&seed=5864998610450&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
451,Monsnarlker,Windwhisia,Windwhisia Commune,Sylvania,Sylvanian Commune,Sylvan Ancients,Siren Song,city,3009,971.95,396.15,41.85,-53.18,225,19°C,Marrakesh (Morocco),,,,,,,,{t1:or;charges:[{charge:skull;t:azure;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Monsnarlker&population=3009&size=20&seed=5864998610451&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
452,Blodle,,,Neutrals,undefined,Salmon-Kin,The Whisperers,town,2890,1353.94,387.15,42.95,-6.75,361,18°C,Barcelona (Spain),,port,,,,,,{t1:or;charges:[{charge:foot;t:purpure;p:beh;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Blodle&population=2890&size=19&seed=5864998610452&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural&sea=0.23
453,Canopymonf,,,Neutrals,undefined,Canopy-Climbers,The Rotting Vessel,town,16511,1467.95,397.89,41.64,7.1,361,18°C,Barcelona (Spain),,,,,,,,{t1:argent;division:{division:perPale;t:azure;line:wavy};charges:[{charge:crossOrthodox;t:gules;p:p;size:0.7};{charge:arrowsSheaf;t:or;p:q;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Canopymonf&population=16511&size=37&seed=5864998610453&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
454,Scutainfle,Scutainfle,Scutainfle Canton,Meridian Chain,Meridian Chainese League,Geckos,The Whisperers,city,3395,2087.14,393.7,42.15,82.36,289,18°C,Barcelona (Spain),,,citadel,,,,,{t1:azure;charges:[{charge:crossTemplar;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Scutainfle&population=3395&size=21&seed=5864998610454&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
455,Whirlwind,Rust,Rust Territory,Sylvania,Sylvanian Commune,Cardinals,Siren Song,town,2450,1068.14,428.49,37.92,-41.49,2116,7°C,Montreal (Canada),,,,,,,,{t1:sable;division:{division:perCross;t:argent;line:straight};ordinaries:[{ordinary:terrace;t:or;line:straight}];charges:[{charge:heron;t:or;p:bdf;t2:or;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Whirlwind&population=2450&size=18&seed=5864998610455&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
456,Canopytano,,,Neutrals,undefined,Canopy-Climbers,The Rotting Vessel,town,3802,1453.74,424.12,38.45,5.38,400,18°C,Barcelona (Spain),,port,,,,,,{t1:argent;charges:[{charge:falchion;t:azure;p:e;t2:azure;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Canopytano&population=3802&size=21&seed=5864998610456&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
457,Ember,,,Neutrals,undefined,Reliance,The Whisperers,town,19484,1203.71,430.94,37.62,-25.01,625,18°C,Barcelona (Spain),,port,,,,,,{t1:sable;charges:[{charge:shipWheel;t:argent;p:jlh;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Ember&population=19484&size=40&seed=5864998610457&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
458,Grumnok,Silkerpelt,Silkerpelt Commune,Sylvania,Sylvanian Commune,Ursine,The Whisperers,town,5753,731.37,446.24,35.76,-82.41,900,16°C,Dubrovnik (Croatia),,,,,,,,{t1:barry-or-azure;charges:[{charge:dragonPassant;t:vert;p:e;t2:gules;t3:vert;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Grumnok&population=5753&size=25&seed=5864998610458&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
459,Scutaimu,Scutainia,Scutainia County,Scute,Scutean Confederacy,Stone-Scales,True Smelt,city,31109,2428.29,447.88,35.56,123.82,361,20°C,Alexandria (Egypt),,,citadel,walls,,temple,,{t1:gules;division:{division:perCross;t:or;line:straight};charges:[{charge:key;t:argent;p:jo;divided:counter;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Scutaimu&population=31109&size=48&seed=5864998610459&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1&style=natural
460,Whirldspire,,,Neutrals,undefined,Reliance,The Whisperers,town,24140,1235.14,454.17,34.8,-21.19,324,20°C,Alexandria (Egypt),,,,,,,,{t1:or;charges:[{charge:angel;t:azure;p:e;t2:azure;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Whirldspire&population=24140&size=43&seed=5864998610460&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
461,Zephus,Canopy,Canopy County,Avian,Empire of Avian,Crows,Toxic Liquidity,village,14883,1483.7,515.1,27.4,9.02,289,22°C,Guangzhou (China),,,,,,,,{t1:azure;charges:[{charge:grapeBunch2;t:or;p:e;t2:or;t3:or;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=14883&name=Zephus&seed=5864998610461&width=1600&height=780&style=default&tags=river%2Cdead+end%2Cno+square%2Cdense
462,Bladow,Shavendercia,Shavendercia Canton,Meridian Chain,Meridian Chainese League,Penguins,The Whisperers,town,12501,2217.16,533.68,25.14,98.16,324,23°C,Rio de Janeiro (Brazil),,port,,,,,,{t1:argent;division:{division:perPale;t:purpure;line:nowy};ordinaries:[{ordinary:point;t:azure;divided:counter}];shield:heater},https://watabou.github.io/city-generator/?name=Bladow&population=12501&size=34&seed=5864998610462&river=1&coast=1&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
463,Scutainvia,Scutainvicti,Scutainvicti County,Sumpkin,Marches of Sumpkin,Geckos,The Whisperers,town,3462,362.51,615.08,15.24,-127.24,256,25°C,Miami (USA),,,citadel,,,,,{t1:gules;charges:[{charge:crossFourchy;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Scutainvia&population=3462&size=21&seed=5864998610463&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
464,Grompak,Grompak,Grompak Governorate,Ursine,Ursinean Oligarchy,Ursine,The Strangler,town,2609,1197.87,649.36,11.08,-25.72,400,25°C,Miami (USA),,,,,,,,{t1:ermine-argent-sable;division:{division:perFess;t:gules;line:straight};shield:heater},https://watabou.github.io/city-generator/?name=Grompak&population=2609&size=19&seed=5864998610464&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
465,Nocturnarihi,,,Neutrals,undefined,Orcas,The Whisperers,village,2532,207.96,676.08,7.83,-146.03,361,26°C,Jakarta (Indonesia),,,citadel,,,,,{t1:vair-azure-argent;division:{division:gyronny;t:or};charges:[{charge:goutte;t:purpure;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=2532&name=Nocturnarihi&seed=5864998610465&width=1600&height=780&style=default&tags=highway%2Cno+square%2Cdense
466,Anfor,Scutainfle,Scutainfle Land,Iron Caladra,Iron Caladran Kingdom,Shovel-Snouts,The Whisperers,town,24046,729.15,688.24,6.35,-82.68,1764,18°C,Barcelona (Spain),,,,,,,,{t1:gules;ordinaries:[{ordinary:canton;t:or}];charges:[{charge:shears;t:gules;p:y;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Anfor&population=24046&size=43&seed=5864998610466&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
467,Grumzugnak,Grun,Grun Prefecture,Ursine,Ursinean Oligarchy,Ursine,The Whisperers,town,2686,939.26,724.89,1.9,-57.15,484,26°C,Jakarta (Indonesia),,,citadel,,,,,{t1:sable;division:{division:gyronny;t:argent};charges:[{charge:inescutcheon;t:or;p:jln;size:0.7};{charge:fleurDeLis;t:azure;p:jln;size:0.35}];shield:heater},https://watabou.github.io/city-generator/?name=Grumzugnak&population=2686&size=19&seed=5864998610467&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
468,Canopytcal,Canopybougho,Canopybougho Province,Ursine,Ursinean Oligarchy,Ailurus,The Whisperers,town,2659,1129.85,788.91,-5.88,-33.99,1936,16°C,Dubrovnik (Croatia),,,,walls,,,,{t1:gules;charges:[{charge:wolfPassant;t:or;p:e;t2:or;t3:or;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Canopytcal&population=2659&size=19&seed=5864998610468&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
469,Dusknightsha,New Canopywindia,New Canopywindia Colony,Canopy,Confederacy of Canopy,Drifters,Cult of Identity,town,38632,1595.11,794.74,-6.59,22.56,324,27°C,Mogadishu (Somalia),,,,,plaza,,,{t1:argent;charges:[{charge:billet;t:sable;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Dusknightsha&population=38632&size=52&seed=5864998610469&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
